Maya, an Architect, faces a moral dilemma.;Maya's colleague has the opportunity to renovate a park in the city.;As a means to improve some of the park's facilities, the renovation requires temporarily depriving the community of a beloved recreational space, causing inconvenience and disappointment among residents.;If Maya prevents her colleague's park renovation, the temporary deprivation of the recreational space and the resulting inconvenience and disappointment would still happen because of a city mandate for construction.;Maya does not prevent her colleague's park renovation.
Alejandro, an Engineer, faces a moral dilemma.;Alejandro's colleague has the opportunity to upgrade the company's server system.;As a means to slightly improve data processing speed, the upgrade process requires the company's server system to be offline for a few hours, causing a temporary halt in the company's operations.;If Alejandro prevents his colleague's server system upgrade, the temporary halt in the company's operations would still happen because of a scheduled maintenance by the server provider.;Alejandro does not prevent his colleague's server system upgrade.
Amir, a Teacher, faces a moral dilemma.;Amir's colleague has the opportunity to implement the new teaching method in his classroom.;As a means to help a small number of students get better at solving math puzzles, the new teaching method requires students to attend class one hour earlier.;If Amir prevents his colleague's implementation of the new teaching method, the requirement for students to attend class one hour earlier would still happen because of a change in the school curriculum.;Amir does not prevent his colleague's implementation of the new teaching method.
Mei, a Nurse, faces a moral dilemma.;Mei's colleague has the opportunity to implement a new scheduling system for patient appointments.;As a means to achieve a nicer looking user interface, the implementation of the new scheduling system requires a temporary disruption in booking appointments, causing a delay for patients needing to schedule their visits.;If Mei prevents her colleague's implementation of the new scheduling system, the temporary disruption in booking appointments and the resulting delay for patients would still happen because of a system upgrade by the hospital's software provider.;Mei does not prevent her colleague's implementation of the new scheduling system.
Amina, a Chef, faces a moral dilemma.;Amina's sous-chef has the opportunity to change the menu of her restaurant.;As a means to introduce two new food options and attract a few new customers, the change in menu requires removing some of the customer's favorite dishes, causing disappointment among regular customers.;If Amina prevents her sous-chef's menu change, the removal of some of the customer's favorite dishes and the resulting disappointment would still happen because of a change in food supply due to seasonal variations.;Amina does not prevent her sous-chef's menu change.
Isamu, an Artist, faces a moral dilemma.;Isamu's colleague has the opportunity to organize an interactive outdoor art exhibit.;As a means to increase local interest in art, the exhibit requires the temporary use of a public space, limiting its availability for regular community activities.;If Isamu prevents his colleague's exhibit, the temporary use of the public space and the resulting limitation on community activities would still happen because of a local festival.;Isamu does not prevent his colleague's exhibit.
Sanaa, a Lawyer, faces a moral dilemma.;Sanaa's colleague has the opportunity to conduct a series of intensive mock trials for the law firm's junior associates.;As a means to slightly improve the litigation skills of the junior associates, conducting a series of intensive mock trials requires extra work hours for the junior associates.;If Sanaa prevents her colleague's mock trials, the extra work hours for the junior associates would still happen because of the legal competition's demands.;Sanaa does not prevent her colleague's mock trials.
Diego, a Mechanic, faces a moral dilemma.;Diego's colleague has the opportunity to reorganize a workshop for better workflow.;As a means to slightly enhance efficiency in the workshop, the reorganization requires temporarily closing the workshop, delaying service to regular customers.;If Diego prevents his colleague's workshop reorganization, the temporary closure of the workshop and the resulting delay in service to regular customers would still happen because of a mandatory safety inspection.;Diego does not prevent his colleague's workshop reorganization.
Amara, a Soldier, faces a moral dilemma.;Amara's colleague has the opportunity to test a new, lightweight combat gear in training exercises.;As a means to test the benefits of lighter gear, it is required to remove some of the gear's heavier protection against bruises.;If Amara prevents her colleague's testing of the new combat gear, the marginally less protection against bruises would still happen because of the shift in military regulations towards prioritizing mobility.;Amara does not prevent her colleague's testing of the new combat gear.
Thanh, a Policeman, faces a moral dilemma.;Thanh's colleague has the opportunity to initiate a graffiti removal project in local neighborhoods.;As a means to remove unpleasant graffiti, the graffiti removal project requires covering up street murals that have artistic value.;If Thanh prevents his colleague's graffiti removal project, the covering up of street murals that have artistic value would still happen because of a city beautification campaign.;Thanh does not prevent his colleague's graffiti removal project.
Esra, a Musician, faces a moral dilemma.;Esra's bandmate has the opportunity to record a new album.;As a means to focus solely on her music, resulting in an album that her fans will enjoy, the recording process requires Esra to isolate herself from her family and friends for a few weeks, causing them to miss her and feel lonely.;If Esra prevents her bandmate's album recording, the isolation from her family and friends and the resulting loneliness would still happen because a music competition requires her to isolate herself for a few weeks to prepare.;Esra does not prevent her bandmate's album recording.
Rafael, a Carpenter, faces a moral dilemma.;Rafael's colleague has the opportunity to replace the old wooden flooring in a historical building.;As a means to ensure the building’s safety and preserve the building for future occupants, the replacement of the old wooden flooring requires the removal of the original wooden flooring, causing some loss of historical authenticity.;If Rafael prevents his colleague's replacement of the old wooden flooring, the removal of the original wooden flooring and the resulting loss of historical authenticity would still happen because of a building safety inspection mandate.;Rafael does not prevent his colleague's replacement of the old wooden flooring.
Leila, a Mayor, faces a moral dilemma.;Leila's colleague has the opportunity to implement the  new traffic regulation in the city.;As a means to reduce the number of road accidents, the implementation of the new traffic regulation requires the temporary closure of a major road, causing traffic congestion and inconvenience to commuters.;If Leila prevents her colleague's implementation of the new traffic regulation, the temporary closure of the major road and the resulting traffic congestion and inconvenience would still happen because of a major road construction project.;Leila does not prevent her colleague's implementation of the new traffic regulation.
Tariq, an Accountant, faces a moral dilemma.;Tariq's colleague has the opportunity to implement a new accounting software in his company.;As a means to streamline the company's financial operations, improving efficiency and accuracy, the implementation of the new accounting software requires Tariq to temporarily halt the company's financial operations, causing a brief period of financial inactivity and revenue loss.;If Tariq prevents his colleague's implementation of the new accounting software, the temporary halt in the company's financial operations and the resulting brief period of financial inactivity and revenue loss would still happen because of a mandatory software update from the current accounting software provider.;Tariq does not prevent his colleague's implementation of the new accounting software.
Naima, a Writer, faces a moral dilemma.;Naima's colleague has the opportunity to write this controversial book.;As a means to spark important conversations and debates about the topic, writing this controversial book requires disclosing potentially sensitive content that upsets some readers.;If Naima prevents her colleague from writing this controversial book, the disclosure of potentially sensitive content that upsets some readers would still happen because of a trending topic in the news.;Naima does not prevent her colleague from writing this controversial book.
Yuki, a Pilot, faces a moral dilemma.;Yuki's colleague has the opportunity to perform a test flight of the new aircraft model.;As a means to provide data that leads to improvements in flight safety and efficiency, the test flight requires Yuki to cancel a scheduled commercial flight, causing inconvenience to passengers who have to reschedule their travel.;If Yuki prevents her colleague's test flight, the cancellation of the scheduled commercial flight and the resulting inconvenience to passengers would still happen because of a mandatory safety inspection of the aircraft.;Yuki does not prevent her colleague's test flight.
