workerid,proliferate.condition,age,ethnicity,gender,race,error
226,0,30,hispanic,female,white,
201,0,42,non_hispanic,female,white,
196,0,49,non_hispanic,female,white,
168,0,50,non_hispanic,male,white,
211,0,30,non_hispanic,male,white,
163,0,21,non_hispanic,male,white,
173,0,27,non_hispanic,male,multiracial,
126,0,30,non_hispanic,male,multiracial,
188,0,32,non_hispanic,female,white,
206,0,38,non_hispanic,prefer not to say,black,
143,0,30,non_hispanic,female,black,
121,0,39,non_hispanic,male,white,
138,0,33,non_hispanic,female,white,
131,0,26,non_hispanic,female,white,
158,0,35,non_hispanic,female,black,
217,0,68,non_hispanic,female,black,
148,0,43,non_hispanic,female,white,
231,0,51,non_hispanic,male,black,
153,0,41,non_hispanic,male,black,
221,0,47,non_hispanic,female,asian,
191,0,30,non_hispanic,male,black,
244,0,38,non_hispanic,male,asian,
236,0,40,non_hispanic,male,white,
187,2,33,non_hispanic,non-binary,white,
147,2,34,non_hispanic,male,white,
210,2,25,non_hispanic,female,asian,
167,2,36,non_hispanic,female,white,
157,2,58,hispanic,female,white,
152,2,42,hispanic,male,white,
137,2,49,non_hispanic,female,white,
162,2,32,non_hispanic,female,white,
220,2,56,non_hispanic,female,black,
177,2,31,non_hispanic,female,asian,
243,2,56,non_hispanic,female,multiracial,
125,2,33,non_hispanic,male,white,
120,2,50,non_hispanic,male,white,
224,2,21,non_hispanic,male,white,
216,2,25,non_hispanic,male,black,
195,2,44,non_hispanic,male,white,
230,2,46,non_hispanic,female,white,
141,2,21,non_hispanic,male,white,
182,2,23,non_hispanic,male,white,
205,2,35,non_hispanic,male,asian,
130,2,61,non_hispanic,male,white,
172,2,24,non_hispanic,male,asian,
235,2,46,non_hispanic,female,white,
238,3,37,hispanic,male,black,
198,3,60,non_hispanic,female,white,
233,3,39,non_hispanic,male,white,
149,3,22,non_hispanic,female,white,
223,3,50,hispanic,female,multiracial,
228,3,39,non_hispanic,female,white,
175,3,29,hispanic,female,white,
139,3,35,non_hispanic,female,white,
117,3,44,non_hispanic,male,white,
154,3,24,non_hispanic,female,asian,
169,3,23,non_hispanic,female,white,
159,3,46,non_hispanic,male,asian,
185,3,56,non_hispanic,female,white,
203,3,48,non_hispanic,male,black,
134,3,75,non_hispanic,male,white,
245,3,36,hispanic,male,white,
208,3,24,non_hispanic,male,white,
180,3,31,non_hispanic,male,white,
213,3,57,non_hispanic,female,white,
124,3,29,hispanic,female,other,
144,3,51,non_hispanic,female,white,
164,3,38,non_hispanic,female,white,
123,4,21,hispanic,female,white,
186,4,34,non_hispanic,male,white,
219,4,51,non_hispanic,male,white,
142,4,33,non_hispanic,male,white,
181,4,28,non_hispanic,male,white,
136,4,39,non_hispanic,male,white,
156,4,27,non_hispanic,female,black,
234,4,35,non_hispanic,male,white,
119,4,29,non_hispanic,female,multiracial,
171,4,28,non_hispanic,male,white,
199,4,59,non_hispanic,male,white,
225,4,59,non_hispanic,male,white,
209,4,25,non_hispanic,non-binary,white,
204,4,36,non_hispanic,male,asian,
176,4,38,non_hispanic,male,white,
161,4,55,non_hispanic,male,white,
229,4,25,non_hispanic,female,white,
128,4,22,non_hispanic,female,white,
194,4,59,non_hispanic,female,white,
151,4,23,non_hispanic,female,white,
166,4,64,hispanic,male,american_indian,
146,4,23,non_hispanic,female,white,
215,4,51,hispanic,female,other,
232,1,67,non_hispanic,female,black,
207,1,61,non_hispanic,female,white,
150,1,23,non_hispanic,female,black,
193,1,49,hispanic,female,white,
190,1,34,non_hispanic,male,white,
189,1,39,non_hispanic,female,white,
165,1,57,non_hispanic,female,white,
145,1,29,non_hispanic,male,white,
184,1,22,non_hispanic,female,white,
135,1,33,non_hispanic,female,white,
118,1,25,non_hispanic,male,multiracial,
197,1,24,non_hispanic,female,white,
212,1,64,hispanic,female,white,
240,1,23,non_hispanic,male,asian,
160,1,21,non_hispanic,female,multiracial,
237,1,56,non_hispanic,female,white,
222,1,53,non_hispanic,male,white,
218,1,43,non_hispanic,male,white,
242,1,57,non_hispanic,female,black,
239,1,31,non_hispanic,male,white,
127,1,75,non_hispanic,female,white,
241,1,26,hispanic,male,other,
179,1,20,non_hispanic,male,white,
122,1,19,non_hispanic,male,asian,
