workerid,proliferate.condition,prolificPid,error
226,0,0043dd84-70d8-4fd5-85f8-0c0cf36163f4,
201,0,039aa305-2fbb-4739-b9a4-f80426eaab5b,
196,0,235a964e-d4dc-4189-8242-d3d189b1534c,
168,0,32596b04-1a2a-4bbc-9d26-5275fcc374e7,
211,0,32cbe2ed-1fe2-4b14-949f-3a1e9c5413f3,
163,0,4b0ef44c-464b-403f-a7bd-9f8863458da2,
173,0,4ca02b2a-92b6-460b-84eb-c2bd9d2d91e4,
126,0,5bf4b9a6-391b-445a-ad13-a3b9abcfc9ef,
188,0,5ce4684b-5b61-415e-995c-2c7dcc50908b,
206,0,5f23199f-e051-4ee1-8a36-05df7575d2cb,
143,0,68f24660-837b-409b-b94b-607a38a955aa,
121,0,7381256a-6a41-48e1-b2de-8ed5c107d550,
138,0,7c0c82c8-8645-4415-ab0e-a87b71203ef2,
131,0,7d020d13-8718-4aaf-9f8c-66d2a1376c1e,
158,0,8bb110b6-42d2-4217-8d8d-67a29f588a75,
217,0,8f20e43f-d2c7-4015-820b-26458c3a18a1,
148,0,900cf8b9-aa27-4366-8f42-cf90b988acc8,
231,0,b0fe8fc6-9764-4dcc-88da-4976cad5edbb,
153,0,bfab45d0-47ce-46de-89f9-c576b680d759,
221,0,cce98901-92f5-43a6-8884-b4bca54f63c0,
191,0,cd001f97-8e82-4b17-ae80-6252cb2f0703,
244,0,d299a7d2-5dac-4937-b0ed-ba003b4877de,
236,0,ef524e42-2492-437d-b4ec-7e97a000b43c,
187,2,13f7db16-b551-41d1-94cf-1d3a9bbaba9e,
147,2,4898fa25-961e-4956-ab0b-60e35583f0c5,
210,2,4cd8b419-8ae0-4e86-9607-389ecbf5f587,
167,2,4d187f7e-e40d-4dc2-8979-1e266781e94c,
157,2,5520bcb1-8eda-4cd0-b8ce-dc2eef8c20d0,
152,2,58d991eb-5dd4-4755-a3c0-9343df3d875a,
137,2,5b77988d-2caa-450b-9404-f14a8b2b4262,
162,2,661d7242-4255-4a9a-b535-4a6ba8f3d456,
220,2,6bb6f3ad-06ad-45f9-96c9-523247803982,
177,2,6dfb4b8a-731f-4858-9eb3-c5093039b98e,
243,2,7999a6ee-8090-4ea3-8332-4958099ec342,
125,2,939ed332-db0d-47c1-ba4c-9c157fca7150,
120,2,9573504b-ef01-4ef9-85f7-cc2ac290caee,
224,2,a22e7194-962a-4485-863d-e29027808f16,
216,2,b8700457-f4b6-4769-915f-6929116d054f,
195,2,cb7daaa8-8623-47ea-b0ed-b5d131e89eb9,
230,2,d471c68c-2540-4e2c-9194-364e10bcda74,
141,2,d64774c0-efa3-4b18-b6d2-6ef7d063c267,
182,2,e11a9938-8b8b-4526-b750-7e603e918b8f,
205,2,e5a41fba-8c36-41da-b182-a5e88757800e,
130,2,f035669c-f9f5-4799-9ab3-49a93a8cfdc6,
172,2,f20d6370-9235-4edc-bd50-c52c24eb68a1,
235,2,f2e80a93-8e84-46ca-a95f-40a4613556ec,
238,3,0eb010fc-6be0-41bd-904f-796c031d5799,
198,3,2b8b30e2-21e6-49e4-aa2e-dd431359f31d,
233,3,2bd20e40-9a68-4125-aa18-f66e7e1fcd1c,
149,3,2c77094c-ab0c-409f-9d31-2bf1868ca6a8,
223,3,37d224ee-8579-4dff-904d-e0fd41f275ef,
228,3,60e13c42-4335-489d-a86d-7db42d329616,
175,3,624e7504-4a28-4018-8097-762f9c1905f2,
139,3,6a32b879-43f9-4e2b-88a5-4a9a8dec521c,
117,3,6d219073-29a9-45d5-acb1-1d4664c1053f,
154,3,7e71b850-aa04-42c6-b03b-65d615e47a50,
169,3,7ebe5d7a-b0f6-44d0-85d0-2fb12e72fad5,
159,3,8db15fd8-fa5e-471c-9a30-0abbaa27f17d,
185,3,91885fc2-9164-4c42-8edc-3ec13a4450b1,
203,3,9952c8b7-67d8-41e0-a70e-e5528e0f050d,
134,3,9a232b02-0d45-4aac-a078-f9c5db31bbe1,
245,3,9ba46309-d104-41e7-8943-711cb4a6a132,
208,3,b5fa1dbc-d347-4f14-96a0-97f916e219fd,
180,3,b8d777fb-51b5-4da1-b827-8d92733473c6,
213,3,ce857a9d-4b3b-48c2-9205-eeccfd1e8356,
124,3,d2d512a6-6ed8-4ec9-bc37-a41f0ad28c43,
144,3,f44f8229-0ea7-487f-a24e-9ed8dd773edb,
164,3,fa0ce6b4-05ca-4bf4-b760-64d199f1e85b,
123,4,1ae5a605-0401-4e4f-8350-72d160a5a7c9,
